ID,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3
5424,16353,8934,9353,7304,duly,duly,duly,462,569,1175
5425,15642,9537,8832,8564,duly,duly,duly,414,356,341
5426,22041,22237,21128,18114,duly,duly,duly,791,719,682
5427,1422,521,351,126,delay,delay,duly,46,36,120
5428,18486,17974,14902,0,duly,duly,duly,844,267,0
5429,2133,12,17,-31,duly,duly,delay,12,11,196
5430,5688,5617,5025,3934,duly,duly,duly,462,320,284
5431,2133,119,60,6,,,duly,43,17,47
5432,34128,16333,15210,11827,duly,duly,duly,1453,490,468
5433,11376,177,0,0,duly,,duly,0,0,0
5434,3555,3248,3451,2798,delay,delay,duly,167,71,124
5435,14931,12257,11684,8482,delay,delay,duly,278,377,325
5436,9243,955,182,0,duly,duly,duly,774,156,186
5437,14931,1998,624,478,duly,duly,duly,1834,523,478
5438,29862,3764,1771,1776,duly,duly,duly,100,82,67
5439,8532,7643,7964,8056,delay,delay,duly,391,178,488
5440,12798,385,1510,523,duly,duly,duly,791,827,378
5441,21330,10442,9787,7534,duly,duly,duly,425,304,277
5442,17775,147,19,21,duly,duly,duly,36,23,0
5443,9243,8772,6419,4424,duly,duly,duly,361,171,1160
5444,18486,18023,17273,16412,duly,duly,duly,675,776,784
5445,14931,0,117,846,delay,,duly,8,578,8
5446,7110,3850,2211,854,duly,duly,duly,104,30,39
5447,34128,23705,22372,21824,duly,duly,duly,1035,893,1252
5448,3555,1494,985,686,duly,duly,duly,105,36,28
5449,27729,2251,4491,3350,duly,duly,duly,2397,2346,2420
5450,10665,27,0,73,duly,,duly,0,0,537
5451,35550,-6,-3,6,delay,,duly,78,0,9
5452,14931,539,639,359,duly,duly,duly,107,53,91
5453,20619,6883,6521,5658,duly,duly,duly,293,293,373
5454,3555,3695,2489,2051,delay,delay,duly,0,107,92
5455,16353,117,76,46,,,duly,177,28,48
5456,3555,0,0,25,delay,,duly,0,12,157
5457,15642,6123,6419,6602,delay,duly,duly,356,292,320
5458,14220,4453,4647,4807,duly,duly,duly,213,196,190
5459,37683,14926,22363,16767,duly,duly,duly,1173,711,675
5460,7110,6928,6976,5358,duly,duly,duly,341,270,213
5461,7110,3497,3460,3493,duly,duly,duly,142,123,112
5462,5688,1441,1439,818,duly,duly,duly,107,56,14
5463,35550,87,1904,3305,,,duly,246,5038,1388
5464,5688,1555,1613,1640,delay,delay,duly,106,29,1110
5465,1422,1395,1334,1314,duly,duly,duly,103,213,249
5466,14931,4,211,721,duly,,duly,0,318,371
5467,11376,200,465,0,delay,duly,duly,235,5,0
5468,711,676,674,699,delay,duly,delay,43,36,36
5469,19908,2460,1748,3468,duly,duly,duly,108,1513,132
5470,28440,28127,27788,20510,delay,duly,duly,15607,981,675
5471,11376,11345,11533,11522,delay,delay,delay,473,203,643
5472,15642,15155,14846,10411,duly,duly,duly,676,680,711
5473,6399,5979,1065,-157,duly,duly,duly,124,53,1102
5474,8532,2846,2974,1644,delay,delay,duly,153,635,107
5475,22041,4339,4550,3687,duly,duly,duly,571,536,330
5476,3555,28,433,821,duly,duly,duly,28,433,29
5477,9243,2792,2855,2967,delay,duly,duly,70,116,120
5478,4977,909,971,1053,delay,delay,delay,71,53,71
5479,9954,10578,7865,4127,duly,duly,duly,687,182,142
5480,2133,1668,1952,1971,delay,delay,delay,178,124,36
5481,12798,11,0,0,delay,,duly,11,0,7
5482,5688,878,692,1397,duly,duly,duly,824,706,14
5483,4977,820,2390,2134,duly,duly,duly,60,2661,74
5484,26307,0,0,0,delay,,duly,0,0,0
5485,8532,3176,3742,4259,duly,duly,duly,356,356,284
5486,7110,2068,1098,0,duly,duly,duly,132,0,0
5487,9243,4978,5050,5182,delay,delay,duly,213,107,217
5488,35550,915,869,12541,,,duly,1320,7206,1359
5489,15642,0,0,0,,,delay,0,0,0
5490,25596,34,160,0,delay,duly,duly,167,27,0
5491,1422,865,460,598,duly,duly,duly,124,107,110
5492,1422,4759,3075,1245,duly,duly,duly,174,44,45
5493,12087,10808,6182,695,,,duly,306,0,165
5494,14220,568,439,28,duly,duly,duly,142,25,0
5495,711,616,687,685,duly,duly,duly,82,24,22
5496,17064,16326,17267,6561,duly,duly,duly,722,490,284
5497,14931,168,456,3197,duly,duly,duly,196,30,3302
5498,19908,21733,21232,12625,duly,duly,duly,1812,1243,876
5499,33417,78,93,1553,,,duly,30,1557,303
5500,4266,3407,2948,2352,duly,duly,duly,356,356,711
5501,3555,1826,1636,1328,duly,duly,duly,109,85,50
5502,34128,28187,25734,20469,duly,duly,duly,1616,968,787
5503,24174,5355,5774,6005,duly,duly,duly,427,224,260
5504,12798,69,3056,3538,duly,duly,duly,779,1817,94
5505,5688,5812,0,0,duly,,duly,133,0,0
5506,8532,0,0,0,,,duly,0,0,0
5507,12798,79,79,79,duly,duly,duly,79,79,79
5508,17064,20304,18851,15821,delay,delay,duly,802,300,525
5509,11376,44,0,0,,,duly,38,0,0
5510,9954,4071,4197,4347,delay,delay,delay,174,153,156
5511,22752,3207,1334,1099,duly,duly,delay,117,146,36
5512,9954,0,0,0,delay,,duly,0,0,0
5513,4266,3739,2736,1929,duly,duly,duly,250,107,89
5514,24885,24630,24140,24533,duly,duly,duly,937,915,913
5515,12087,210,0,107,duly,,duly,0,0,442
5516,16353,619,91,336,,,duly,416,140,281
5517,1422,1179,502,189,duly,delay,duly,512,786,0
5518,7110,804,597,157,duly,delay,duly,152,0,115
5519,7110,1141,1515,1624,duly,duly,duly,1370,1263,1920
5520,16353,6576,6773,7014,duly,duly,duly,240,257,224
5521,2133,1028,850,386,delay,delay,duly,0,73,0
5522,18486,184,235,286,delay,delay,duly,185,286,214
5523,30573,-1730,6172,3962,,delay,duly,5181,89,143
5524,10665,3167,984,720,duly,duly,duly,161,124,2325
5525,2133,841,946,481,duly,delay,delay,142,36,71
5526,30573,8016,8357,8766,duly,duly,duly,427,356,391
5527,5688,5088,4255,3718,delay,delay,duly,0,0,1805
5528,14220,13658,9623,5632,duly,duly,duly,483,207,209
5529,26307,14235,10583,6135,duly,duly,duly,873,618,472
5530,10665,10766,10473,10580,duly,duly,duly,392,370,405
5531,21330,121,186,41,duly,duly,duly,155,31,194
5532,12087,11940,7214,3868,duly,duly,duly,427,196,284
5533,1422,755,801,400,duly,delay,duly,92,0,0
5534,21330,28,41,89,delay,delay,duly,28,27,62
5535,12087,65,362,230,delay,duly,duly,289,75,72
5536,1422,807,77,0,delay,delay,duly,1,384,0
5537,3555,665,2169,978,duly,duly,duly,1143,599,9
5538,9954,7724,7592,7117,duly,duly,duly,377,284,270
5539,8532,22,11,34,duly,duly,duly,22,22,11
5540,14220,10496,9038,8546,duly,duly,duly,470,1267,490
5541,17775,640,0,0,,,delay,132,0,0
5542,4977,4663,3234,3341,duly,duly,duly,156,135,142
5543,22752,13252,12753,12858,duly,delay,duly,608,533,462
5544,5688,4168,2687,1525,delay,duly,delay,184,122,139
5545,4977,4445,3694,3327,duly,duly,duly,185,121,158
5546,6399,6348,6294,4750,duly,delay,duly,306,324,356
5547,12087,11684,11841,11915,duly,duly,duly,527,451,572
5548,25596,0,18,54,delay,,duly,0,57,30
5549,1422,857,457,47,duly,delay,duly,82,0,33
5550,14931,492,463,74,duly,duly,duly,125,14,0
5551,15642,66,612,845,duly,delay,duly,379,813,258
5552,23463,192,96,191,,,duly,152,170,54
5553,12798,0,0,0,,,duly,0,0,0
5554,4266,3392,2030,2030,duly,duly,duly,134,115,128
5555,11376,7047,7285,7187,delay,duly,delay,231,284,277
5556,2133,1669,25,5,delay,duly,duly,53,21,191
5557,8532,615,803,835,duly,delay,delay,121,60,60
5558,10665,6387,6105,4768,delay,duly,duly,286,356,285
5559,12087,12075,11767,11935,delay,delay,duly,267,476,431
5560,19908,20189,16668,14468,duly,duly,duly,556,445,482
5561,17064,17288,17249,15391,duly,duly,duly,755,851,931
5562,31995,249,366,740,duly,duly,duly,431,474,55
5563,9954,4849,4047,4340,duly,duly,duly,248,199,242
5564,20619,20013,12578,4898,duly,duly,duly,642,231,535
5565,4266,1314,1247,915,duly,duly,duly,98,202,11
5566,8532,2586,2772,2949,duly,duly,duly,142,142,178
5567,18486,3458,14618,12617,duly,duly,duly,7114,439,392
5568,19197,785,462,0,duly,duly,duly,539,0,0
5569,21330,6913,6224,4772,duly,duly,duly,407,2400,136
5570,4266,4061,3364,3393,delay,delay,duly,144,108,1626
5571,7821,7307,6717,5459,duly,duly,duly,263,197,240
5572,21330,13928,14310,15386,delay,duly,delay,284,871,604
5573,2133,1947,2122,2066,duly,delay,duly,178,42,196
5574,1422,1279,1365,1321,duly,duly,duly,127,82,63
5575,2133,2149,2064,1488,delay,duly,duly,124,142,55
5576,13509,9502,5169,0,duly,duly,duly,427,36,0
5577,6399,2715,2777,2747,delay,delay,delay,71,121,36
5578,4977,4816,3361,2116,delay,duly,delay,64,89,124
5579,4977,2327,2388,2437,duly,duly,duly,124,105,94
5580,1422,32,34,23,delay,duly,duly,48,18,23
5581,711,529,550,604,duly,duly,delay,89,71,32
5582,3555,2520,1790,416,duly,duly,duly,145,44,50
5583,10665,360,211,0,,,duly,465,93,0
5584,4977,3623,3272,3220,delay,duly,duly,203,124,132
5585,3555,3611,3574,3669,delay,duly,delay,77,224,73
5586,26307,754,839,649,,,duly,839,718,645
5587,2133,2329,1917,1404,duly,delay,duly,178,232,366
5588,16353,871,271,763,duly,duly,duly,181,391,142
5589,6399,121,121,383,delay,delay,duly,83,38,711
5590,711,619,557,946,duly,duly,duly,314,53,36
5591,19197,19,174,2123,duly,duly,duly,52,254,2034
5592,11376,2511,0,0,delay,delay,delay,0,0,0
5593,24885,891,194,334,duly,delay,delay,107,89,178
5594,34839,18817,15848,12344,duly,duly,duly,676,604,498
5595,9243,9078,8038,6826,duly,duly,duly,361,252,256
5596,15642,0,0,0,delay,,delay,0,0,0
5597,3555,3423,3582,3551,duly,duly,duly,250,196,135
5598,5688,1535,1671,1766,delay,delay,delay,142,107,38
5599,3555,3516,2113,2144,duly,duly,duly,105,87,76
5600,11376,11538,11289,8639,duly,duly,duly,441,390,327
5601,22041,970,1418,1822,duly,duly,delay,284,284,36
5602,35550,1843,631,1090,,,duly,1482,857,1804
5603,16353,219,79,171,delay,duly,duly,274,128,82
5604,2133,1695,1779,1855,delay,duly,duly,61,100,68
5605,7110,380,134,1647,duly,duly,duly,66,246,2602
5606,25596,243,233,25,duly,duly,duly,256,210,33
5607,6399,3011,3190,3412,duly,duly,delay,164,213,71
5608,24885,171,171,171,delay,delay,delay,0,0,0
5609,24174,1081,8869,10430,duly,duly,duly,3392,5314,1913
5610,16353,0,0,18,,,duly,0,0,35
5611,14220,54,28,47,duly,duly,duly,28,33,525
5612,5688,3373,2430,1825,duly,duly,duly,160,108,107
5613,6399,4314,3823,3454,delay,duly,delay,185,231,57
5614,3555,1887,2104,2097,delay,delay,delay,153,38,82
5615,6399,6512,5351,3697,duly,duly,duly,243,165,3422
5616,12798,856,387,296,duly,duly,duly,698,175,186
5617,35550,6699,8029,2136,duly,duly,duly,6919,7929,1485
5618,711,318,153,-16,duly,duly,duly,79,108,36
5619,9243,42,3564,5832,delay,duly,duly,3659,4114,142
5620,1422,728,0,0,delay,delay,duly,0,0,0
5621,23463,-1,-1,-1,,,duly,0,0,0
5622,21330,1087,36,-2,duly,,duly,59,0,0
5623,10665,249,476,747,duly,duly,duly,238,26,660
5624,31995,817,1088,624,duly,duly,duly,462,356,129
5625,16353,350,214,142,duly,delay,duly,355,59,201
5626,19908,284,688,133,duly,duly,duly,811,200,123
5627,24174,913,1105,691,duly,duly,duly,685,1266,413
5628,20619,21905,22366,22519,duly,duly,duly,854,819,822
5629,5688,5693,5701,5631,duly,duly,duly,205,200,213
5630,7110,1528,1836,994,duly,duly,duly,249,89,41
5631,9243,5978,6151,6198,delay,delay,duly,327,107,220
5632,35550,315,358,655,,,duly,274,448,606
5633,4266,4185,3228,2595,duly,duly,duly,160,121,92
5634,6399,3540,5707,5831,delay,delay,delay,2207,167,220
5635,5688,4133,4204,4687,duly,delay,duly,171,166,370
5636,14220,0,64,64,delay,duly,duly,32,64,64
5637,5688,5547,5699,5603,duly,duly,duly,302,206,213
5638,2844,2772,1409,905,duly,duly,duly,128,145,1226
5639,1422,76,69,28,duly,delay,duly,62,0,0
5640,2133,2045,2106,994,duly,duly,duly,125,48,0
5641,35550,1296,1642,893,duly,duly,duly,1388,1171,2775
5642,1422,742,792,853,delay,delay,duly,75,36,50
5643,15642,346,395,256,duly,delay,duly,299,132,256
5644,3555,83,122,114,duly,duly,duly,132,114,0
5645,28440,2872,3045,800,duly,,duly,3894,1218,196
5646,4266,59,59,42,delay,delay,duly,89,28,14
5647,3555,2945,2170,2145,duly,duly,duly,142,107,154
5648,10665,12464,12371,12711,duly,duly,duly,576,564,468
5649,22752,168,182,364,duly,duly,duly,97,241,395
5650,10665,0,57,88,,,duly,57,63,26
5651,17775,12463,11690,9152,duly,duly,duly,498,458,569
5652,31995,0,0,0,delay,,duly,0,0,0
5653,2133,694,327,192,duly,duly,duly,751,155,140
5654,12087,1088,1226,1256,delay,delay,delay,89,53,89
5655,10665,12,31,31,delay,duly,duly,13,31,0
5656,8532,3777,7731,7862,delay,duly,duly,3969,282,487
5657,3555,3446,2280,1381,duly,duly,duly,140,52,60
5658,2133,1412,1659,1923,duly,duly,duly,231,196,178
5659,21330,302,714,149,duly,duly,duly,505,500,0
5660,1422,955,1092,1171,duly,delay,delay,178,89,25
5661,18486,5870,6116,6375,duly,duly,duly,216,227,372
5662,4977,1744,1853,1915,delay,delay,delay,117,71,53
5663,7821,4479,2670,3080,delay,duly,delay,142,356,71
5664,1422,1275,1337,1386,duly,delay,duly,121,36,36
5665,23298,24181,21696,17774,duly,duly,duly,806,620,604
5666,3555,3499,3259,3526,duly,duly,duly,391,462,284
5667,9954,3976,4495,3663,duly,duly,duly,249,515,121
5668,3555,3938,1663,1289,duly,duly,duly,146,249,89
5669,17064,416,5829,540,,,duly,5787,752,263
5670,14220,54,0,36,,,duly,0,0,494
5671,14931,184,322,142,,,duly,244,345,165
5672,21330,0,0,0,delay,,duly,0,0,0
5673,14220,189,53,53,delay,delay,duly,89,80,57
5674,33417,6097,6393,6760,duly,duly,duly,356,356,356
5675,8532,0,0,0,delay,,duly,0,0,0
5676,2133,405,303,1962,duly,delay,duly,523,959,152
5677,10665,1983,1697,1144,duly,duly,duly,307,284,1460
5678,15642,15600,15647,12549,duly,duly,duly,574,493,498
5679,27018,683,0,0,duly,,duly,36,0,0
5680,3555,2390,558,0,duly,duly,duly,89,0,0
5681,8532,62,165,94,delay,duly,duly,149,94,0
5682,3555,3606,3460,3526,duly,duly,duly,142,249,356
5683,4977,4755,1556,85,duly,duly,duly,179,3,1470
5684,3555,2575,1621,9,duly,duly,duly,213,178,0
5685,25596,8718,4738,3113,duly,duly,duly,3560,2489,889
5686,2133,2147,1977,1834,duly,duly,duly,104,86,75
5687,5688,156,54,3012,duly,duly,duly,140,1538,4
5688,1422,24,703,749,duly,duly,duly,360,71,33
5689,14931,4736,4644,4581,duly,duly,duly,903,936,902
5690,19908,10820,7520,6260,duly,duly,duly,284,249,238
5691,3555,0,0,0,delay,,duly,0,0,0
5692,9954,9314,6257,3503,duly,duly,duly,427,142,142
5693,3555,3118,3298,3398,delay,delay,delay,117,142,71
5694,7110,7012,6895,7027,duly,delay,delay,331,363,124
5695,18486,1270,456,49,duly,duly,duly,251,325,63
5696,1422,-239,1086,1079,delay,duly,duly,1507,17,15
5697,6399,34,32,130,delay,duly,duly,56,48,93
5698,4977,5143,4849,2365,duly,duly,duly,246,153,107
5699,28440,594,120,21,delay,delay,duly,0,120,126
5700,25596,22,48,239,delay,duly,duly,59,219,280
5701,14220,7939,5305,5018,duly,duly,duly,321,217,203
5702,30573,19,302,1298,,,duly,209,765,107
5703,14220,856,794,97,duly,duly,duly,923,233,17
5704,2844,1660,2193,2271,duly,duly,duly,1214,213,1129
5705,35550,2091,4142,378,duly,duly,duly,4067,3842,217
5706,28440,6,1327,3073,delay,duly,duly,136,2867,1422
5707,35550,329,750,1542,,,duly,607,1734,0
5708,3555,1957,2091,2193,duly,duly,duly,104,92,113
5709,711,451,42,709,delay,duly,duly,92,396,13
5710,17064,7,23,5,delay,duly,duly,30,5,0
5711,9243,226,0,0,duly,,duly,71,0,0
5712,31284,19250,18143,9307,delay,delay,duly,3555,213,427
5713,4266,140,3864,2694,delay,delay,duly,2069,71,120
5714,6399,6248,5801,4542,duly,duly,duly,481,273,199
5715,35550,536,1075,2859,,,duly,959,2807,1869
5716,26307,14306,13499,13422,duly,duly,duly,554,479,503
5717,5688,3937,2089,1788,duly,duly,duly,569,285,320
5718,9954,9704,7658,5994,duly,duly,duly,414,208,269
5719,35550,5351,5441,10098,duly,duly,duly,715,1778,711
5720,12798,4844,5453,5911,duly,duly,duly,533,356,291
5721,7110,5322,5524,5742,delay,delay,delay,224,217,220
5722,1422,1423,1429,1449,duly,duly,duly,96,56,118
5723,12798,821,930,822,,,duly,995,885,722
5724,7110,1019,756,739,delay,delay,delay,151,43,36
5725,14220,3131,3363,3453,duly,duly,duly,124,156,196
5726,17064,48,460,887,delay,duly,delay,356,359,818
5727,41949,9150,9103,9146,duly,duly,duly,381,392,343
5728,12087,0,32,0,,,duly,32,0,0
5729,18486,22,184,183,duly,duly,duly,184,22,183
5730,1422,1402,1363,1314,duly,delay,duly,178,25,228
5731,3555,3448,1949,2043,delay,duly,duly,115,82,75
5732,27018,1245,1185,1225,duly,duly,duly,178,142,142
5733,711,584,589,638,duly,duly,duly,86,52,23
5734,4266,86,53,2316,duly,delay,duly,53,2119,224
5735,10665,9128,5635,2397,duly,duly,duly,372,186,107
5736,3555,263,0,0,duly,,duly,36,0,0
5737,35550,578,1084,42,duly,duly,duly,308,1126,28
5738,7110,7022,9827,2503,duly,duly,duly,297,122,0
5739,4977,5505,5139,1204,duly,duly,duly,167,3401,113
5740,17775,408,1301,473,duly,duly,duly,1071,213,752
5741,31995,26,15,0,duly,duly,duly,15,0,219
5742,17064,777,544,782,duly,duly,duly,313,533,533
5743,2133,1976,1752,816,delay,duly,duly,55,72,274
5744,20619,123,508,31,,,duly,486,152,168
5745,25596,1818,952,541,duly,duly,duly,2348,508,803
5746,46926,20351,23758,1449,duly,duly,duly,1600,782,48
5747,31995,157,82,18,duly,duly,duly,103,0,126
5748,1422,1119,1129,728,delay,delay,duly,71,75,107
5749,12798,0,0,0,,,duly,0,0,0
5750,6399,297,173,137,duly,duly,duly,298,79,321
5751,8532,3752,7254,4805,duly,duly,duly,3746,178,71
5752,4266,4259,3844,2731,delay,delay,duly,96,132,114
5753,2844,2799,2756,2827,duly,duly,duly,142,124,124
5754,7110,3339,3198,3140,delay,delay,duly,71,124,114
5755,30573,2680,3588,2031,duly,duly,duly,533,196,142
5756,25596,117,0,0,duly,,duly,85,0,0
5757,2133,805,1237,893,duly,duly,delay,774,107,6
5758,13509,12171,11294,11104,duly,duly,duly,536,444,391
5759,2133,2158,2186,2154,delay,delay,delay,149,46,88
5760,24174,1396,1043,1350,,duly,duly,1526,780,2350
5761,1422,94,313,337,duly,duly,duly,298,75,626
5762,22041,638,126,57,duly,duly,duly,160,56,508
5763,1422,723,889,965,duly,duly,delay,95,99,32
5764,3555,598,707,759,duly,duly,duly,93,32,58
5765,4266,4371,4359,1661,delay,duly,duly,220,103,796
5766,9243,0,0,0,,,duly,0,0,0
5767,5688,61,0,18,delay,,duly,61,0,109
5768,3555,0,0,-71,,,delay,0,0,71
5769,11376,165,42,33,duly,duly,duly,178,14,47
5770,7821,3440,3599,3762,duly,duly,duly,167,146,167
5771,9243,8693,8925,5992,delay,duly,duly,448,249,251
5772,8532,1713,1536,3111,duly,,duly,172,1713,249
5773,11376,198,59,-4,delay,duly,duly,36,0,100
5774,25596,-14,479,633,delay,,duly,7,667,0
5775,22752,19185,19094,17365,duly,delay,duly,1067,296,641
5776,21330,6,46,-62,delay,delay,delay,34,14,0
5777,3555,2543,1582,837,duly,duly,duly,166,91,50
5778,5688,0,0,0,delay,,duly,0,0,0
5779,24174,6245,3180,394,duly,duly,duly,455,129,6973
5780,1422,1162,1383,2067,delay,delay,duly,123,61,78
5781,7821,6355,6291,6029,delay,delay,delay,395,217,213
5782,1422,1399,1006,403,delay,duly,duly,71,214,0
5783,7110,6187,4270,2664,duly,duly,duly,194,230,64
5784,11376,196,25,20,delay,,duly,0,45,20
5785,3555,146,578,373,duly,duly,duly,269,447,621
5786,8532,3373,1134,11,duly,duly,duly,280,0,57
5787,2133,2063,1920,1430,duly,duly,duly,197,50,11
5788,14931,14058,8949,3329,delay,duly,duly,513,335,6212
5789,3555,3559,1934,109,delay,duly,duly,77,89,117
5790,12798,9824,3903,3670,duly,duly,duly,462,249,263
5791,14220,5971,2450,1169,duly,delay,duly,207,284,569
5792,14931,14524,11208,6957,duly,duly,duly,684,260,238
5793,31284,16890,13146,13643,delay,duly,duly,603,487,493
5794,14931,8485,9496,10652,delay,delay,delay,745,788,788
5795,1422,1077,1263,1296,duly,duly,duly,160,99,56
5796,27018,3402,8201,6554,duly,duly,duly,3325,284,249
5797,13509,14482,12064,10178,duly,duly,duly,637,367,342
5798,5688,5951,5839,5674,duly,duly,duly,245,238,252
5799,3555,3469,3452,0,duly,duly,duly,142,36,0
5800,29151,170,-4,-138,duly,delay,duly,73,19,236
5801,2133,1717,1893,1959,delay,duly,delay,114,78,89
5802,7110,90,59,28,,,duly,90,28,14
5803,12087,5805,2078,924,duly,duly,delay,405,89,128
5804,5688,5737,3288,3328,delay,delay,duly,130,60,132
5805,24885,1128,218,43,,,duly,204,180,51
5806,3555,3443,3092,1326,duly,duly,duly,142,107,71
5807,2844,35,949,1759,delay,duly,duly,12,969,68
5808,4977,5053,5052,5060,duly,duly,duly,235,201,208
5809,1422,1383,1333,204,duly,duly,duly,123,57,0
5810,7110,6199,6166,4164,duly,duly,duly,281,178,142
5811,1422,100,105,321,delay,duly,duly,59,238,191
5812,3555,765,490,199,duly,duly,duly,83,43,0
5813,3555,3050,2313,1487,duly,duly,duly,191,107,87
5814,7821,4863,5094,5292,duly,duly,duly,203,224,204
5815,15642,11873,12254,6339,duly,duly,duly,444,267,213
5816,28440,2463,1430,546,duly,duly,duly,757,526,680
5817,7821,28,0,0,delay,,duly,28,0,0
5818,8532,8976,8549,8562,duly,duly,duly,498,312,314
5819,25596,8232,7647,6812,duly,duly,duly,321,359,162
5820,14220,14382,14358,14337,duly,duly,duly,498,498,498
5821,4977,1440,1575,1647,duly,duly,duly,105,69,71
5822,711,124,78,141,delay,duly,delay,6,80,10
5823,34128,4936,4925,4647,duly,duly,duly,213,150,153
5824,1422,684,877,1091,duly,duly,duly,128,142,142
5825,2133,1431,1423,1446,duly,delay,delay,107,78,11
5826,31995,93,0,757,duly,,duly,0,635,89
5827,14220,0,352,770,delay,duly,duly,82,540,500
5828,1422,1407,874,0,duly,duly,duly,143,168,0
5829,19197,632,795,618,duly,duly,duly,631,323,591
5830,35550,20672,17068,13685,duly,duly,duly,717,571,679
5831,2133,1959,1268,309,delay,duly,duly,51,41,16
5832,2133,1945,2059,1512,duly,duly,duly,114,54,76
5833,17775,7741,6646,6428,duly,duly,duly,356,267,320
5834,7110,6826,7090,7020,delay,delay,delay,345,215,220
5835,4266,2021,1074,538,delay,duly,duly,37,56,239
5836,14220,15331,14614,13761,duly,duly,delay,556,562,711
5837,3555,1424,1424,1428,duly,duly,duly,94,51,61
5838,2844,1832,1771,1646,delay,delay,delay,0,0,0
5839,19908,475,193,-1,duly,duly,duly,425,194,0
5840,14931,3919,3933,3782,duly,duly,duly,139,136,133
5841,2133,1003,1034,1092,duly,duly,delay,134,89,71
5842,29862,14750,12949,12695,duly,duly,duly,533,444,587
5843,14220,0,11,721,delay,,duly,0,490,248
5844,3555,3561,2343,1282,delay,delay,duly,36,51,56
5845,3555,2441,1381,1300,duly,duly,duly,101,48,71
5846,18486,12431,11792,10071,duly,duly,duly,711,520,533
5847,7821,7412,3650,3802,duly,duly,duly,217,134,139
5848,2133,174,1148,881,delay,duly,duly,603,1070,17
5849,5688,2547,0,0,duly,,delay,0,0,0
5850,16353,97,136,39,,,duly,95,92,39
5851,17775,2730,1246,1771,duly,duly,duly,234,1097,0
5852,2133,0,0,1464,delay,,duly,0,724,170
5853,4266,4233,4348,2120,duly,duly,delay,213,173,38
5854,13509,28,28,478,duly,duly,duly,28,228,277
5855,16353,15388,16754,15090,delay,delay,delay,1364,231,184
5856,8532,4234,1727,522,delay,duly,duly,111,116,178
5857,27729,466,232,30,duly,duly,duly,73,11,61
5858,14220,424,695,502,delay,duly,duly,44,569,213
5859,15642,13177,8885,3807,duly,duly,duly,533,178,107
5860,23463,774,1751,716,duly,duly,duly,284,818,412
5861,25596,2404,2235,1823,,,duly,3805,1256,1630
5862,3555,2400,1418,1723,duly,duly,duly,117,178,142
5863,3555,11,0,0,,,duly,11,0,0
5864,3555,2564,2639,2754,delay,delay,delay,107,116,49
5865,9243,197,490,537,,,duly,404,426,457
5866,25596,2240,0,0,duly,,delay,889,0,0
5867,12798,65,41,30,duly,duly,duly,15,30,154
5868,711,889,781,619,duly,duly,duly,118,79,23
5869,5688,959,4583,4267,duly,duly,duly,3174,153,197
5870,5688,28,0,-21,,,duly,35,0,21
5871,9243,1592,1109,619,duly,duly,duly,107,53,40
5872,3555,2133,2140,1896,duly,duly,duly,107,82,69
5873,23463,18296,18240,18234,duly,duly,duly,655,667,672
5874,2133,441,529,104,duly,duly,duly,750,61,50
5875,19908,0,117,0,delay,duly,duly,117,0,105
5876,2133,1723,1798,1895,delay,delay,delay,111,86,25
5877,21330,103,11,5,duly,duly,duly,90,11,27
5878,10665,527,70,352,duly,duly,duly,544,76,698
5879,7821,3887,3969,4023,duly,duly,duly,149,155,148
5880,16353,2238,855,415,duly,duly,duly,95,22,65
5881,2133,23,41,57,duly,duly,duly,41,40,12
5882,16353,130,315,307,duly,duly,duly,205,307,307
5883,17775,18571,15189,13139,delay,delay,duly,462,486,569
5884,6399,3696,1475,1207,duly,duly,duly,349,57,45
5885,26307,954,175,1021,duly,duly,duly,119,290,1260
5886,12798,2130,2255,0,duly,duly,duly,121,23,0
5887,12798,9616,10102,10503,delay,delay,delay,697,409,199
5888,5688,5648,5255,3717,delay,duly,duly,231,267,160
5889,31995,230,249,65,,,duly,188,196,51
5890,3555,3529,2388,1332,delay,delay,delay,45,82,27
5891,25596,143,2277,2336,duly,duly,duly,401,2005,431
5892,21330,4347,4720,4911,duly,duly,duly,303,249,378
5893,29151,22154,17042,13670,duly,duly,duly,945,573,3829
5894,16353,139,348,450,,,duly,359,404,304
5895,17064,9636,9742,5739,delay,duly,duly,238,392,742
5896,3555,397,485,503,duly,duly,duly,84,53,49
5897,2133,899,865,997,delay,delay,delay,18,71,71
5898,711,646,664,712,duly,duly,duly,89,71,27
5899,2133,1599,645,0,delay,duly,duly,227,0,0
5900,4266,1619,1872,2064,delay,duly,duly,160,142,124
5901,1422,28,51,66,duly,duly,duly,28,37,267
5902,711,341,423,487,delay,delay,duly,100,11,73
5903,18486,39,150,180,delay,duly,duly,129,60,180
5904,35550,1332,528,951,duly,duly,duly,685,285,490
5905,3555,795,1751,2607,duly,duly,delay,89,904,53
5906,14931,28,28,82,duly,duly,duly,28,82,28
5907,7110,2370,2498,2600,delay,delay,delay,114,100,54
5908,3555,2836,2022,2124,delay,duly,duly,53,82,85
5909,16353,14253,14632,3603,duly,duly,duly,711,2133,142
5910,8532,174,155,0,duly,delay,duly,152,7,0
5911,13509,355,1200,709,duly,duly,duly,939,458,0
5912,5688,337,483,284,duly,duly,duly,521,287,260
